Ordre de travail;Staut Ordre de travail;Service;Description;Equipment;Nom Equipement;date enregistrement;Noeud Parent;Nom_parent;Classification Equipement;Date début;Date Fin;Modèle OT;Type OT 
OT21181710;en cours d'exécution;Etm1;fuite d'air au niveau détendeur air entrée air stéril dessus TM2 ;;;;;;;;;;
OT21181711;en cours d'exécution;Eté1;éclairage coté pot ferment endommagé (lampe dessus pot ferment et porte entrée box contrôle salle maturation);;;;;;;;;;
OT21181712;en cours d'exécution;élec1;mauvaise position de découpe:;;;;;;;;;;
OT21181714;en cours d'exécution;élec1;problème vérin opercule:;;;;;;;;;;
OT21181714;en cours d'exécution;élec1;problème vérin opercule:;;;;;;;;;;
OT21181715;en cours d'exécution;élec1;défaut disjonction disjoncteur onduleur intégrateur :;;;;;;;;;;
OT21181717;en cours d'exécution;élec1*;capteur;PFM100;Divers Maturation;;PFM1;Maturation;;22/07/2021;22/07/2021;;correctif planifié
OT21181719;en cours d'exécution;élec1*+méc1*;changement sonde de niveau du trémie ;;;;;;;;;;
OT21181719;en cours d'exécution;élec1*+méc1*;changement sonde de niveau du trémie ;;;;;;;;;;
OT21181719;en cours d'exécution;élec1*+méc1*;changement sonde de niveau du trémie ;;;;;;;;;;
OT21181720;en cours d'exécution;élec1;défaut sonde de température stérilisation pot ferment :;;;;;;;;;;
OT21181722;en cours d'exécution;extension pot ferment;extension pot ferment ;;;;;;;;;;
OT21181723;en cours d'exécution;méc1;problème dosage :;;;;;;;;;;
OT21181724;en cours d'exécution;méc1+élec1;défaut sonde +défaut buté mécanique :;;;;;;;;;;
OT21181724;en cours d'exécution;méc1+élec1;défaut sonde +défaut buté mécanique :;;;;;;;;;;
OT21181725;en cours d'exécution;méc1;défaut fuillard pot n°1:;;;;;;;;;;
OT21181726;en cours d'exécution;méc1;bourrage magasin décor :;;;;;;;;;;
OT21181728;en cours d'exécution;élec2*;changement 2 transmetteur + 9 fusibles;PFP205;NEP2;;PFP2;Etage (Process 2);;22/07/2021;22/07/2021;;correctif planifié
OT21181729;en cours d'exécution;méc2;piston bouchon non réculant :;;;;;;;;;;
OT21181730;en cours d'exécution;méc2;défaut bouchon décalé:;;;;;;;;;;
OT21181731;en cours d'exécution;méc2;fuillard au niveau soudure bouchon ligne 2:;;;;;;;;;;
OT21181736;en cours d'exécution;MECANIQUE;Probleme dosage d'acide ====>changement la pompe par cel de l'A3flex/C;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;22/07/2021;22/07/2021;;correctif non planifié
OT21181737;en cours d'exécution;MCANIQUE;Changement Dolly;ULPRPH0305;A3/FLEX;;ULPRPH03;UHT C;Mec;22/07/2021;22/07/2021;;correctif planifié
OT21181738;en cours d'exécution;MECANIQUE;Changement Dolly ;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;22/07/2021;22/07/2021;;correctif non planifié
OT21181741;en cours d'exécution;MECANIQUE;Remplissage reservoir d'huile ;ULPRPH0607;DIVERS EQUIPEMENT;;ULPRPH06;DIVERS UHT;Mec;19/07/2021;19/07/2021;;correctif planifié
OT21181742;en cours d'exécution;méc2*;changement régulateur ;PFC201;ERCA dessert 1 (MF14 série 29313);;PFC2;Conditionnement 2;;23/07/2021;23/07/2021;;correctif non planifié
OT21181743;en cours d'exécution;méc2*;changement 2 courroie;PFG308;CTA Traitement 1 (CCH50);;PFG3;Atelier CTA 1;Mec;21/07/2021;21/07/2021;;correctif planifié
OT21181744;en cours d'exécution;élec1*;changement résistance + thermocoupe du tête de scellage ;PFC104;Serac A (DmxR12T12/540 série M06-OF64);;PFC1;conditionnement 1;Mec;23/07/2021;23/07/2021;;correctif planifié
OT21181745;en cours d'exécution;trait;raccord coudé 6;PFP100;Divers Process 1;;PFP1;Traitement 1 (Process 1);;23/07/2021;23/07/2021;;correctif planifié
OT21181748;en cours d'exécution;méc2;fuite d'eau de refroidissement :;;;;;;;;;;
OT21181749;en cours d'exécution;prod;rouleau d'encre;PFC100;Divers conditionnement 1;;PFC1;conditionnement 1;Elec;23/07/2021;23/07/2021;;correctif planifié
OT21181750;en cours d'exécution;élec1;défaut commande vérin opercule (coiincement):;;;;;;;;;;
OT21181751;en cours d'exécution;élec1;défaut détection produit dans le circuit vide + défaut sonde de niveau doseur:;;;;;;;;;;
OT21181752;en cours d'exécution;prod;changement lame sleever;PFC106;Sleever A (03/07-0281);;PFC1;conditionnement 1;Mec;23/07/2021;23/07/2021;;correctif planifié
OT21181753;en cours d'exécution;méc2*;changement roue poubelle;PFD001;Divers mécanique UPF;;PFD0;Divers;;23/07/2021;23/07/2021;;correctif planifié
OT21181755;en cours d'exécution;Etm1;couteau découpe latérale entre pot n°4 et n°10 cassé;;;;;;;;;;
OT21181756;clôturé;;;four GC;Fourniture GC;23/12/2021 14:44;GC;Genie civil;GC;24/07/2021;24/07/2021;;correctif planifié
OT21181757;en cours d'exécution;élec2;fuite d'air :;;;;;;;;;;
OT21181758;en cours d'exécution;élec2(V36.24.1);défaut commande vanne V36.24.1 (envoie eau glacée étape final storck):;;;;;;;;;;
OT21181759;en cours d'exécution;élec2(V36.24.1);défaut ouverture vanne eau glacée refroidissement stork V36.24.1:;;;;;;;;;;
OT21181760;en cours d'exécution;méc2+élec2;moteur démonté + cable électrique démonté;;;;;;;;;;
OT21181760;en cours d'exécution;méc2+élec2;moteur démonté + cable électrique démonté;;;;;;;;;;
OT21181761;en cours d'exécution;méc2*;démontage mondomix 1 et changement vérin + joint suite contamination;PFC20101;Mondomix doseur 1 (E-50);;PFC201;ERCA dessert 1 (MF14 sér;;26/07/2021;26/07/2021;;correctif planifié
OT21181762;en cours d'exécution;prod;changement 6 chaussette;PFC205;ERCA Pate Fraiche (MF7 série 29413);;PFC2;Conditionnement 2;;25/07/2021;25/07/2021;;correctif planifié
OT21181763;en cours d'exécution;MECANIQUE;CHANGEMENT GARNITURE POMPE ;ULPRPT0104;NEP C;;ULPRPT01;NEP;ALIM;22/07/2021;22/07/2021;;correctif non planifié
OT21181764;en cours d'exécution;hyg;changement flexible toilette;PFD00902;Vestiaire ouvriers n°2;;PFD009;Vestiaire ouvriers;;24/07/2021;24/07/2021;;correctif planifié
OT21181767;en cours d'exécution;méc1+élec1;défaut contacteur frein presse découpe (F14):;;;;;;;;;;
OT21181767;en cours d'exécution;méc1+élec1;défaut contacteur frein presse découpe (F14):;;;;;;;;;;
OT21181768;en cours d'exécution;MECANIQUE;REVISION MOTEUR;ULPRPT0604;PASTO CREME;;ULPRPT06;PASTO LAIT N2;;24/07/2021;24/07/2021;;correctif non planifié
OT21181769;en cours d'exécution;élec1;défaut démarrage machine + défaut profibus:;;;;;;;;;;
OT21181771;en cours d'exécution;élec1;défaut démarrage machine 2 fois :;;;;;;;;;;
OT21181772;en cours d'exécution;méc1;problème refondage + bourrage papier décor bondrole n°1 (problème piston  et introduction):;;;;;;;;;;
OT21181773;en cours d'exécution;élec1;défaut température de 12 têtes thermoscellage + défaut disjoncteur turbine surpresseur remplisseuse :;;;;;;;;;;
OT21181774;en cours d'exécution;MECANIQUE;variation de pression d'homogénéisation  +bruit, vibration anormal + chute au niveau débit jusqu?à 6500 l/h;ULPRPH0202;HOMO STEREDIAL;;ULPRPH02;UHT B;Mec;26/07/2021;26/07/2021;;correctif non planifié
OT21181775;en cours d'exécution;élec1;défaut vidéo jet :;;;;;;;;;;
OT21181776;en cours d'exécution;MECANIQUE;changement joint au niveau circuit air stérile;ULPRPH0305;A3/FLEX;;ULPRPH03;UHT C;Mec;24/07/2021;24/07/2021;;correctif planifié
OT21181777;en cours d'exécution;MECANIQUE;CHANGEMENT CROCHET;ULPRPS0204;REMPLISSEUSE-CAPSULEUSE;;ULPRPS02;BOUTEILLE;;24/07/2021;24/07/2021;;correctif non planifié
OT21181778;en cours d'exécution;MECANIQUE;"Changement pompe acide (Voir suite ""OT21181736"")";ULPRPH0305;A3/FLEX;;ULPRPH03;UHT C;Mec;22/07/2021;22/07/2021;;correctif planifié
OT21181779;en cours d'exécution;MECANIQUE;CHANGEMENT TEFLON;ULPRPS0207;FARDELEUSE;;ULPRPS02;BOUTEILLE;;22/07/2021;22/07/2021;;correctif planifié
OT21181780;en cours d'exécution;MECANIQUE;usure plaque de cisaillement;ULPRPH0402;HOMO STEREDIAL;;ULPRPH04;UHT D;Mec;22/07/2021;22/07/2021;;correctif non planifié
OT21181781;en cours d'exécution;MECANIQUE;réparation;ULPRDV0102;TRANSPALETTE TC17;;ULPRDV01;TRANSPALETTE;Mec;22/07/2021;22/07/2021;;correctif planifié
OT21181782;en cours d'exécution;MECANIQUE;Sortie chaine convoyeur===>Changement la chaine convoyeur suite mauvaise état;ULPRPH0108;CONVOYEUR;;ULPRPH01;UHT A;Mec;21/07/2021;21/07/2021;;correctif non planifié
OT21181783;en cours d'exécution;ELECTRIQUE;Fixation pompe acide;ULPRPH0502;NEP TETRA LIGNE 02;;ULPRPH05;NEP TETRA;Mec;21/07/2021;21/07/2021;;correctif planifié
OT21181784;en cours d'exécution;ELECTRIQUE;CHANGEMENT FICHE VAMPIR;ULPRPT0401;COULOIRE N°1 LAIT PASTORISE;;ULPRPT04;STOCKAGE LAIT PASTORISE;;13/07/2021;17/07/2021;;correctif non planifié
OT21181785;en cours d'exécution;MECANIQUE;R.P collé ===>Changement cutting pince URA suite mauvaise état;ULPRPH020504;UNITE RACCORDEMENT PAPIER;;ULPRPH0205;TBA/8;Mec;17/07/2021;17/07/2021;;correctif planifié
OT21181786;en cours d'exécution;MECANIQUE;CHANGEMENT VALVE;ULPRPS0101;EXTRUDEUSE;;ULPRPS01;FABRICATION BOUTEILLE;;22/07/2021;22/07/2021;;correctif non planifié
OT21181787;en cours d'exécution;MECANIQUE;réparation;ULPRDV0111;TRANSPALETTE TC20;;ULPRDV01;TRANSPALETTE;;09/07/2021;09/07/2021;;correctif planifié
OT21181789;en cours d'exécution;MECANIQUE;Changement roue;ULPRPH0205;TBA/8;;ULPRPH02;UHT B;Mec;23/07/2021;23/07/2021;;correctif planifié
OT21181790;en cours d'exécution;MECANIQUE;Changement Dolly;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;23/07/2021;23/07/2021;;correctif planifié
OT21181792;en cours d'exécution;MECANIQUE;Changement Dolly;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;24/07/2021;24/07/2021;;correctif planifié
OT21181793;en cours d'exécution;MECANIQUE;Changement Dolly;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;25/07/2021;25/07/2021;;correctif planifié
OT21181794;en cours d'exécution;MECANIQUE;Changement Dolly;ULPRPH0305;A3/FLEX;;ULPRPH03;UHT C;Mec;24/07/2021;24/07/2021;;correctif planifié
OT21181795;en cours d'exécution;ENERGETIQUE;Changement FIltre;ULUTTE010501;osmoseurs eaux n1;;ULUTTE0105;OSMOSEURS EAUX;Mec;24/07/2021;24/07/2021;;correctif planifié
OT21181796;en cours d'exécution;parc auto;gerbeur n 9;PAV308;GB Nø 9;;PAV3;Parc Auto Gerbeurs;mec;26/07/2021;26/07/2021;;correctif planifié
OT21181797;en cours d'exécution;MECANIQUE;Changement kit vanne sedmo;ULPRSR010101;VANNES;;ULPRSR0101;STERELISATEUR;Mec;05/07/2021;05/07/2021;;correctif planifié
OT21181798;en cours d'exécution;ELECTRIQUE;fixation fiche male ;ULPRPT0401;COULOIRE N°1 LAIT PASTORISE;;ULPRPT04;STOCKAGE LAIT PASTORISE;;23/07/2021;23/07/2021;;correctif planifié
OT21181800;en cours d'exécution;MECANIQUE;Changement joint;ULPRPF0405;TREPKO;;ULPRPF04;BEURRE;ALIM;24/07/2021;24/07/2021;;correctif planifié
OT21181801;en cours d'exécution;MECANIQUE;Changement kit piston ;ULPRPF0201;ELOPAK;;ULPRPF02;LBEN RAIB;Mec;16/07/2021;16/07/2021;;correctif planifié
OT21181802;en cours d'exécution;ELECTRIQUE;Défaut conductivimètre;ULPRPH0401;STEREDIAL;;ULPRPH04;UHT D;Mec;22/07/2021;22/07/2021;;correctif non planifié
OT21181803;en cours d'exécution;élec1*;changement télérupteur ;PFC100;Divers conditionnement 1;;PFC1;conditionnement 1;Elec;26/07/2021;26/07/2021;;correctif planifié
OT21181804;en cours d'exécution;élec1*;changement turbine (moteur 0.18KW);PFC107;Serac B (DmxR12T12/540 série M12-OM24);;PFC1;conditionnement 1;Mec;26/07/2021;26/07/2021;;correctif non planifié
OT21181805;en cours d'exécution;méc2(M469XVB02);défaut vanne soutirage TM19vers Galdi (M469XVB02):;;;;;;;;;;
OT21181806;en cours d'exécution;tucom;tucom;PFP115;Local Soude Acide;;PFP1;Traitement 1 (Process 1);;22/07/2021;22/07/2021;;correctif planifié
OT21181807;en cours d'exécution;prod;colson;PFC100;Divers conditionnement 1;;PFC1;conditionnement 1;Elec;25/07/2021;25/07/2021;;correctif planifié
OT21181808;en cours d'exécution;méc2;changement goupille pour les piston doseur;;;;;;;;;;
OT21181808;en cours d'exécution;méc2;changement goupille pour les piston doseur;;;;;;;;;;
OT21181809;en cours d'exécution;Etm1;Fuite d'eau au niveau lavabo laveri;;;;;;;;;;
OT21181810;en cours d'exécution;Eté1;Température non conforme du l'incubateur 20°C;;;;;;;;;;
OT21181811;clôturé;;;four GC;Fourniture GC;23/12/2021 14:46;GC;Genie civil;GC;26/07/2021;26/07/2021;;correctif planifié
OT21181812;en cours d'exécution;prod;rouleau encre;PFC100;Divers conditionnement 1;;PFC1;conditionnement 1;Elec;26/07/2021;26/07/2021;;correctif planifié
OT21181813;en cours d'exécution;Etm2;Guide endommagé (coté partie comman,de);PFS101;Mimasa 1 (L-300 série 446);;PFS1;Suremballage;Mec;27/07/2021;27/07/2021;;correctif planifié
OT21181814;en cours d'exécution;élec1(S451XVB55);défaut vanne pied de tank TC4 (S451XVB55):;;;;;;;;;;
OT21181814;en cours d'exécution;élec1(S451XVB55);défaut vanne pied de tank TC4 (S451XVB55):;;;;;;;;;;
OT21181816;en cours d'exécution;élec1(I302TT01);défaut sonde ligne poudrage TP7 à TP8 (I302TT01):;;;;;;;;;;
OT21181817;en cours d'exécution;élec2(M471XVB31);défaut vanne remplissage TM21 par pasto 6 (M471XVB31) :;;;;;;;;;;
OT21181818;en cours d'exécution;élec2;défaut démarrage moteur liquiverter I2IXME01 :;;;;;;;;;;
OT21181819;en cours d'exécution;prod;collier de serrage + raccord;PFC101;ERCA 1 (EF320L série 39306);;PFC1;conditionnement 1;Mec;25/07/2021;25/07/2021;;correctif planifié
OT21181820;en cours d'exécution;méc1;problème fixation brosse sleever 1:;;;;;;;;;;
OT21181821;en cours d'exécution;méc1;problème injection bondrole pot n°4 / 5 et 2:;;;;;;;;;;
OT21181822;en cours d'exécution;méc1;défaut injection pot n°5 :;;;;;;;;;;
OT21181823;en cours d'exécution;méc1;défaut injection pot n°5 :;;;;;;;;;;
OT21181824;en cours d'exécution;élec1;défaut lecture spot papier :;;;;;;;;;;
OT21181825;en cours d'exécution;élec1;problème position de coupe sleeve:;;;;;;;;;;
OT21181826;en cours d'exécution;élec1;défaut presse :;;;;;;;;;;
OT21181827;en cours d'exécution;élec1(M157XVB03);alarme vanne soutirage TM7 vers serac 1 (M157XVB03);;;;;;;;;;
OT21181828;en cours d'exécution;élec1(M158XVB32);défaut vanne remplissage TM8 de refroidisseur (M158XVB32):;;;;;;;;;;
OT21181829;en cours d'exécution;Etm1;point soudure au niveau chambrage 6 m pasto 3 au dessus armoire électrique du pasto 8;;;;;;;;;;
OT21181830;en cours d'exécution;méc1;défaut injection décor pot n°5 :;;;;;;;;;;
OT21181831;en cours d'exécution;méc2*;changement flexible;PFP200;Divers Process 2;;PFP2;Etage (Process 2);;27/07/2021;27/07/2021;;correctif planifié
OT21181832;en cours d'exécution;méc2*;changement poulie;PFS102;Mimasa 2 (L-300 série 643);;PFS1;Suremballage;Mec;27/07/2021;27/07/2021;;correctif planifié
OT21181833;en cours d'exécution;prod;lame;PFC109;Sleever B (10000853-417);;PFC1;conditionnement 1;Mec;27/07/2021;27/07/2021;;correctif planifié
OT21181834;en cours d'exécution;Etm1;perturbation du poid au demarrage machine pot n°7 et 1;;;;;;;;;;
OT21181835;en cours d'exécution;Etm1;Fuite d'air au niveau vanne de régulation eau de refroidissement;;;;;;;;;;
OT21181836;en cours d'exécution;Etm1;deux point soudure au niveau ligne soutirage TC1-2 vers TC4 (au niveau porte NEP1 et devant TLP2);;;;;;;;;;
OT21181837;en cours d'exécution;Etm2;problème air étirement plastique (ne fonctionne pas);;;;;;;;;;
OT21181838;en cours d'exécution;Etm2;Problème couvercle pompe retour NEP de Doseur n°2 ;;;;;;;;;;
OT21181839;en cours d'exécution;Etm2;contrôler le guide de plastique entre presse de soudure et lampe UV (le plastique sort de la chaine);;;;;;;;;;
OT21181840;en cours d'exécution;Etm2;au cours de nettoyage fuite au niveau de piston de doseur n°2 (présence de trace de soude et d'aacide;;;;;;;;;;
OT21181841;en cours d'exécution;Etm2;au cours de nettoyage fuite au niveau de pompe retour NEP;;;;;;;;;;
OT21181842;en cours d'exécution;Etm2;Fuite eau pistolé flexible au niveau magasin ingrédient process coté lavabo;;;;;;;;;;
OT21181843;en cours d'exécution;Etm2;écoulement eau au niveau climatiseur devant porte monte charge ;;;;;;;;;;
OT21181844;en cours d'exécution;Eté2;lampe coté armoire TP7-8-9 non fonctionnel;;;;;;;;;;
OT21181845;en cours d'exécution;Eté1;capteur de position stockage lait TLC3 endommagé (S1M2ZS01);;;;;;;;;;
OT21181846;en cours d'exécution;MECANIQUE;Changement manometre soufflet superieure;ULPRPH0202;HOMO STEREDIAL;;ULPRPH02;UHT B;Mec;26/07/2021;26/07/2021;;correctif planifié
OT21181847;en cours d'exécution;MECANIQUE;Changement Dolly;ULPRPH0305;A3/FLEX;;ULPRPH03;UHT C;Mec;26/07/2021;26/07/2021;;correctif planifié
OT21181848;en cours d'exécution;MECANIQUE;Changement Dolly;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;26/07/2021;26/07/2021;;correctif planifié
OT21181849;en cours d'exécution;MECANIQUE;Transfert au tourneur pour faire des pièces équivalents;ULPRPH0307;HELIX;;ULPRPH03;UHT C;Mec;26/07/2021;26/07/2021;;correctif planifié
OT21181850;en cours d'exécution;MECANIQUE;R.P collé;;;;;;;;;;
OT21181851;en cours d'exécution;MECANIQUE;Changement joint roue contre pression;ULPRPH0305;A3/FLEX;;ULPRPH03;UHT C;Mec;26/07/2021;26/07/2021;;correctif planifié
OT21181852;en cours d'exécution;MECANIQUE;remplissage reservoir huile tellus32;ULPRPH0607;DIVERS EQUIPEMENT;;ULPRPH06;DIVERS UHT;Mec;28/07/2021;28/07/2021;;correctif planifié
OT21181853;en cours d'exécution;ENERGETIQUE;réparation fuite vapeur;ULPRPH0502;NEP TETRA LIGNE 02;;ULPRPH05;NEP TETRA;Mec;27/07/2021;27/07/2021;;correctif planifié
OT21181854;en cours d'exécution;méc2;problème vérin bouchon ligne 1 démonté :;;;;;;;;;;
OT21181855;en cours d'exécution;élec1;défaut sonde de niveau :;;;;;;;;;;
OT21181856;en cours d'exécution;méc1;problème ligne retour NEP:;;;;;;;;;;
OT21181857;en cours d'exécution;méc1;problème prés découpe et découpe :;;;;;;;;;;
OT21181858;en cours d'exécution;méc1;défaut disjonction alimentation général chauffage machine (plaque étirement opercule):;;;;;;;;;;
OT21181859;en cours d'exécution;élec2*;vis M8;PFP20300;Circuit dessert;;PFP203;Dessert (stork);;28/07/2021;28/07/2021;;correctif planifié
OT21181860;en cours d'exécution;élec2*;domino;PFC209;Chambre froide ingrédient usine ;;PFC2;Conditionnement 2;;28/07/2021;28/07/2021;;correctif planifié
OT21181861;en cours d'exécution;Etm1;mauvaise évacuation déchet suite absence soudure en extrimité opercule;PFC102;ERCA 2 (EF320L série 34407);;PFC1;conditionnement 1;Mec;28/07/2021;28/07/2021;;correctif planifié
OT21181862;en cours d'exécution;Etm1;mauvaise manupulation support bobine décor (coincement roue);PFC102;ERCA 2 (EF320L série 34407);;PFC1;conditionnement 1;Mec;28/07/2021;28/07/2021;;correctif planifié
OT21181863;en cours d'exécution;Etm1;fuite vapeur au niveau boucle rechauffeur ERCA3;PFM107;Echangeur (réchauffeur ERCA3);;PFM1;Maturation;Mec;27/07/2021;27/07/2021;;correctif planifié
OT21181892;en cours d'exécution;1;1;PFC101;ERCA 1 (EF320L série 39306);;PFC1;conditionnement 1;Mec;30/07/2021;30/07/2021;;correctif planifié
OT21181894;en cours d'exécution;élec1(M164XVB32);défaut vanne remplissage ligne refroidissement TM14 (M164XVB32):;;;;;;;;;;
OT21181895;en cours d'exécution;élec1;défautr cycle trop long :;;;;;;;;;;
OT21181896;en cours d'exécution;élec1;coincement presse découpe + défaut tirage :;;;;;;;;;;
OT21181897;clôturé;méc1;fuite vapeur bride vanne modulante entrée vapeur pasto crème 1;PFP10202;Vanne Modulante;30/07/2021 09:48;PFP102;Pasto 2 (Pasto Crème 1);;29/07/2021;29/07/2021;;correctif planifié
OT21181898;en cours d'exécution;méc2;reglage fourchette pliage sommet suite defaut pliage sommet;PFC206;Galdi RG250;;PFC2;Conditionnement 2;;28/07/2021;28/07/2021;;correctif non planifié
OT21181899;en cours d'exécution;élec2;reparation fuite d'air;PFC201;ERCA dessert 1 (MF14 série 29313);;PFC2;Conditionnement 2;;28/07/2021;28/07/2021;;correctif planifié
OT21181900;en cours d'exécution;méc1;défaut écrasement des pots + défaut emprinte soudure :;;;;;;;;;;
OT21181901;en cours d'exécution;élec2;reparation fuite d'air au niveau detendeur ;PFP20302;Homo stork;;PFP203;Dessert (stork);;28/07/2021;28/07/2021;;correctif planifié
OT21181903;en cours d'exécution;méc2+élec2;vérification distribiteur ;;;;;;;;;;
OT21181904;en cours d'exécution;méc2;demontage fourchette de pliage pour nettoyage suite defaut pliage sommet ligne 1;PFC206;Galdi RG250;;PFC2;Conditionnement 2;;29/07/2021;29/07/2021;;correctif non planifié
OT21181905;en cours d'exécution;méc2;reglage fourchette pliage sommet suite defaut pliage sommet ligne 1;PFC206;Galdi RG250;;PFC2;Conditionnement 2;;29/07/2021;29/07/2021;;correctif non planifié
OT21181907;en cours d'exécution;méc2;révision vanne ;;;;;;;;;;
OT21181911;en cours d'exécution;méc1;défaut lame décoltage :;;;;;;;;;;
OT21181912;en cours d'exécution;méc1;problème démontage chaine :;;;;;;;;;;
OT21181917;en cours d'exécution;méc2;reparation coincement fourchette pliage sommet ligne 1 suite defaut ;PFC206;Galdi RG250;;PFC2;Conditionnement 2;;30/07/2021;30/07/2021;;correctif non planifié
OT21181930;en cours d'exécution;MECANIQUE;changement les dollys;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;01/08/2021;01/08/2021;;correctif planifié
OT21181931;en cours d'exécution;Etm1;vibration moteur presse découpe + bruit anormal;;;;;;;;;;
OT21181932;en cours d'exécution;Etm1;perturbation de poid (aux démarrage et arrét changement TM et encour de production);;;;;;;;;;
OT21181933;en cours d'exécution;Etm1;Plexiglace porte doseur principal machine brisée;;;;;;;;;;
OT21181935;en cours d'exécution;Etm1;Porte au niveau tirage plastique ERCA2 attaché avec le scotch;;;;;;;;;;
OT21181936;en cours d'exécution;Etm1;une partie de convoyeur à l'entrée serac 1 endommagé ;;;;;;;;;;
OT21181937;en cours d'exécution;Etm1;calorifuge station fruit serac 2 endommagé ;;;;;;;;;;
OT21181938;en cours d'exécution;Eté1;Alarme ERCA2 est attaché avec scotch;;;;;;;;;;
OT21181939;en cours d'exécution;Eté1;cage Tue mouche à coté ERCA1 est démonté ;;;;;;;;;;
OT21181942;en cours d'exécution;méc1;bourrage poste décor :;;;;;;;;;;
OT21181943;en cours d'exécution;méc1;bourrage magasin décor :;;;;;;;;;;
OT21181944;en cours d'exécution;méc1+élec1;défaut convoyeur de flacon (magasin):;;;;;;;;;;
OT21181944;en cours d'exécution;méc1+élec1;défaut convoyeur de flacon (magasin):;;;;;;;;;;
OT21181946;clôturé;fa20210095 EVTS;bc270949;PAV00605;DIVERS GERBEUR;02/08/2021 13:24;PAV006;Equipements;Mec;02/08/2021;02/08/2021;;correctif planifié
OT21181947;en cours d'exécution;méc1;mano pression soudure endommagé :;;;;;;;;;;
OT21181949;en cours d'exécution;élec1;disjonction alimentation générale chauffage machine :;;;;;;;;;;
OT21181950;clôturé;fa20210093 EVTS;BC270951;PAV00605;DIVERS GERBEUR;02/08/2021 13:31;PAV006;Equipements;Mec;02/08/2021;02/08/2021;;correctif planifié
OT21181951;en cours d'exécution;méc1;bourrage convoyeur posimat :;;;;;;;;;;
OT21181952;en cours d'exécution;MECANIQUE;remplissage bague huile OMALA220;ULPRPH0607;DIVERS EQUIPEMENT;;ULPRPH06;DIVERS UHT;Mec;28/07/2021;28/07/2021;;correctif planifié
OT21181953;en cours d'exécution;MECANIQUE;Bourrage UFP====>changement taquet UFP;ULPRPH0205;TBA/8;;ULPRPH02;UHT B;Mec;28/07/2021;28/07/2021;;correctif non planifié
OT21181954;en cours d'exécution;élec1;bourrage convoyeur posimat :;;;;;;;;;;
OT21181956;en cours d'exécution;MECANIQUE;CHANGEMENT COUTEAU;ULPRPS0207;FARDELEUSE;;ULPRPS02;BOUTEILLE;;27/07/2021;27/07/2021;;correctif non planifié
OT21181958;en cours d'exécution;élec1;défaut dosage n°3 :;;;;;;;;;;
OT21181959;en cours d'exécution;méc1+élec1;pompe à vide en défaut :;;;;;;;;;;
OT21181959;en cours d'exécution;méc1+élec1;pompe à vide en défaut :;;;;;;;;;;
OT21181960;en cours d'exécution;méc1+élec1;défaut pince plastique :;;;;;;;;;;
OT21181960;en cours d'exécution;méc1+élec1;défaut pince plastique :;;;;;;;;;;
OT21181961;en cours d'exécution;PRODUCTION;changement les joints rouge;ULPRPH0607;DIVERS EQUIPEMENT;;ULPRPH06;DIVERS UHT;Mec;01/08/2021;31/08/2021;;correctif planifié
OT21181962;en cours d'exécution;MECANIQUE;REVISION POMPE PCM;ULPRPT0604;PASTO CREME;;ULPRPT06;PASTO LAIT N2;;26/07/2021;26/07/2021;;correctif non planifié
OT21181963;en cours d'exécution;DIVERS;Divers interventions;ULPRPH0607;DIVERS EQUIPEMENT;;ULPRPH06;DIVERS UHT;Mec;01/08/2021;31/08/2021;;correctif planifié
OT21181964;initialisé;FA20210055 EVTS;BC270995;PAV004041;Chariot N° 27;;PAV004;Chariots Elevateurs;Mec;02/08/2021;02/08/2021;;correctif planifié
OT21181965;en cours d'exécution;MECANIQUE;réparation;ULPRPH0605;CHARIOT DE REBUTS;;ULPRPH06;DIVERS UHT;Mec;22/07/2021;22/07/2021;;correctif planifié
OT21181966;en cours d'exécution;méc1;défaut décor pot n°4 :;;;;;;;;;;
OT21181967;en cours d'exécution;méc1;défaut d'injection décor :;;;;;;;;;;
OT21181968;en cours d'exécution;élec1;défaut lecture spot papier + défaut dosage produit :;;;;;;;;;;
OT21181969;en cours d'exécution;élec1;défaut lecture spot papier :;;;;;;;;;;
OT21181970;en cours d'exécution;élec1;défaut d'impression :;;;;;;;;;;
OT21181971;en cours d'exécution;méc1;fuite d'eau au niveau presse formage ;;;;;;;;;;
OT21181972;en cours d'exécution;méc1;bourrage décor :;;;;;;;;;;
OT21181974;en cours d'exécution;ELECTRIQUE;Défaut photocellule système machoire;ULPRPH0205;TBA/8;;ULPRPH02;UHT B;Mec;30/07/2021;31/07/2021;;correctif non planifié
OT21181975;en cours d'exécution;MECANIQUE;changement dolly;ULPRPH0305;A3/FLEX;;ULPRPH03;UHT C;Mec;30/07/2021;30/07/2021;;correctif planifié
OT21181987;en cours d'exécution;MECANIQUE;changement les dolly;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;29/07/2021;29/07/2021;;correctif planifié
