Count of Ordre de travail,Year,Month,Day,Earliest Date
1,2021,April,13,2021-04-13 00:00:00
1,2021,April,15,2021-04-15 00:00:00
2,2021,April,16,2021-04-16 00:00:00
1,2021,April,17,2021-04-17 00:00:00
1,2021,April,18,2021-04-18 00:00:00
1,2021,April,20,2021-04-20 00:00:00
2,2021,April,26,2021-04-26 00:00:00
2,2021,April,27,2021-04-27 00:00:00
5,2021,April,28,2021-04-28 00:00:00
2,2021,April,29,2021-04-29 00:00:00
3,2021,April,30,2021-04-30 00:00:00
4,2021,May,3,2021-05-03 00:00:00
1,2021,May,5,2021-05-05 00:00:00
4,2021,May,6,2021-05-06 00:00:00
4,2021,May,14,2021-05-14 00:00:00
1,2021,May,15,2021-05-15 00:00:00
2,2021,May,16,2021-05-16 00:00:00
2,2021,May,17,2021-05-17 00:00:00
2,2021,May,20,2021-05-20 00:00:00
1,2021,May,23,2021-05-23 00:00:00
2,2021,May,24,2021-05-24 00:00:00
2,2021,May,25,2021-05-25 00:00:00
3,2021,May,27,2021-05-27 00:00:00
1,2021,May,28,2021-05-28 00:00:00
2,2021,May,31,2021-05-31 00:00:00
2,2021,June,1,2021-06-01 00:00:00
3,2021,June,2,2021-06-02 00:00:00
2,2021,June,3,2021-06-03 00:00:00
1,2021,June,5,2021-06-05 00:00:00
1,2021,June,8,2021-06-08 00:00:00
1,2021,June,9,2021-06-09 00:00:00
1,2021,June,10,2021-06-10 00:00:00
1,2021,June,11,2021-06-11 00:00:00
1,2021,June,13,2021-06-13 00:00:00
7,2021,June,15,2021-06-15 00:00:00
5,2021,June,16,2021-06-16 00:00:00
4,2021,June,17,2021-06-17 00:00:00
3,2021,June,18,2021-06-18 00:00:00
1,2021,June,19,2021-06-19 00:00:00
1,2021,June,20,2021-06-20 00:00:00
1,2021,June,21,2021-06-21 00:00:00
4,2021,June,24,2021-06-24 00:00:00
1,2021,June,25,2021-06-25 00:00:00
1,2021,June,26,2021-06-26 00:00:00
2,2021,June,27,2021-06-27 00:00:00
1,2021,June,28,2021-06-28 00:00:00
1,2021,June,29,2021-06-29 00:00:00
1,2021,June,30,2021-06-30 00:00:00
3,2021,July,2,2021-07-02 00:00:00
2,2021,July,3,2021-07-03 00:00:00
3,2021,July,5,2021-07-05 00:00:00
5,2021,July,7,2021-07-07 00:00:00
2,2021,July,9,2021-07-09 00:00:00
1,2021,July,13,2021-07-13 00:00:00
2,2021,July,14,2021-07-14 00:00:00
2,2021,July,16,2021-07-16 00:00:00
1,2021,July,18,2021-07-18 00:00:00
1,2021,July,22,2021-07-22 00:00:00
2,2021,July,23,2021-07-23 00:00:00
1,2021,July,25,2021-07-25 00:00:00
1,2021,July,26,2021-07-26 00:00:00
1,2021,July,27,2021-07-27 00:00:00
2,2021,July,28,2021-07-28 00:00:00
3,2021,July,30,2021-07-30 00:00:00
1,2021,August,2,2021-08-02 00:00:00
2,2021,August,4,2021-08-04 00:00:00
1,2021,August,5,2021-08-05 00:00:00
5,2021,August,6,2021-08-06 00:00:00
2,2021,August,9,2021-08-09 00:00:00
8,2021,August,10,2021-08-10 00:00:00
4,2021,August,11,2021-08-11 00:00:00
1,2021,August,12,2021-08-12 00:00:00
2,2021,August,13,2021-08-13 00:00:00
1,2021,August,14,2021-08-14 00:00:00
1,2021,August,15,2021-08-15 00:00:00
3,2021,August,18,2021-08-18 00:00:00
1,2021,August,19,2021-08-19 00:00:00
1,2021,August,22,2021-08-22 00:00:00
1,2021,August,23,2021-08-23 00:00:00
2,2021,August,24,2021-08-24 00:00:00
2,2021,August,26,2021-08-26 00:00:00
1,2021,August,27,2021-08-27 00:00:00
5,2021,August,30,2021-08-30 00:00:00
1,2021,August,31,2021-08-31 00:00:00
3,2021,September,2,2021-09-02 00:00:00
1,2021,September,3,2021-09-03 00:00:00
1,2021,September,5,2021-09-05 00:00:00
3,2021,September,6,2021-09-06 00:00:00
3,2021,September,7,2021-09-07 00:00:00
2,2021,September,9,2021-09-09 00:00:00
3,2021,September,10,2021-09-10 00:00:00
2,2021,September,13,2021-09-13 00:00:00
4,2021,September,14,2021-09-14 00:00:00
4,2021,September,15,2021-09-15 00:00:00
2,2021,September,16,2021-09-16 00:00:00
2,2021,September,20,2021-09-20 00:00:00
1,2021,September,21,2021-09-21 00:00:00
2,2021,September,22,2021-09-22 00:00:00
1,2021,September,24,2021-09-24 00:00:00
2,2021,September,25,2021-09-25 00:00:00
1,2021,September,27,2021-09-27 00:00:00
1,2021,September,28,2021-09-28 00:00:00
5,2021,September,29,2021-09-29 00:00:00
1,2021,September,30,2021-09-30 00:00:00
1,2021,October,1,2021-10-01 00:00:00
2,2021,October,2,2021-10-02 00:00:00
2,2021,October,3,2021-10-03 00:00:00
3,2021,October,4,2021-10-04 00:00:00
2,2021,October,6,2021-10-06 00:00:00
2,2021,October,7,2021-10-07 00:00:00
2,2021,October,8,2021-10-08 00:00:00
1,2021,October,11,2021-10-11 00:00:00
2,2021,October,12,2021-10-12 00:00:00
2,2021,October,13,2021-10-13 00:00:00
1,2021,October,16,2021-10-16 00:00:00
1,2021,October,17,2021-10-17 00:00:00
2,2021,October,18,2021-10-18 00:00:00
2,2021,October,20,2021-10-20 00:00:00
5,2021,October,21,2021-10-21 00:00:00
1,2021,October,22,2021-10-22 00:00:00
2,2021,October,25,2021-10-25 00:00:00
2,2021,October,26,2021-10-26 00:00:00
1,2021,October,27,2021-10-27 00:00:00
3,2021,October,28,2021-10-28 00:00:00
1,2021,October,29,2021-10-29 00:00:00
1,2021,October,30,2021-10-30 00:00:00
1,2021,October,31,2021-10-31 00:00:00
4,2021,November,1,2021-11-01 00:00:00
4,2021,November,2,2021-11-02 00:00:00
2,2021,November,5,2021-11-05 00:00:00
1,2021,November,6,2021-11-06 00:00:00
1,2021,November,8,2021-11-08 00:00:00
1,2021,November,9,2021-11-09 00:00:00
1,2021,November,11,2021-11-11 00:00:00
3,2021,November,12,2021-11-12 00:00:00
3,2021,November,13,2021-11-13 00:00:00
3,2021,November,16,2021-11-16 00:00:00
1,2021,November,18,2021-11-18 00:00:00
2,2021,November,19,2021-11-19 00:00:00
1,2021,November,20,2021-11-20 00:00:00
2,2021,November,21,2021-11-21 00:00:00
2,2021,November,23,2021-11-23 00:00:00
1,2021,November,24,2021-11-24 00:00:00
3,2021,November,26,2021-11-26 00:00:00
2,2021,November,29,2021-11-29 00:00:00
1,2021,December,1,2021-12-01 00:00:00
1,2021,December,2,2021-12-02 00:00:00
1,2021,December,4,2021-12-04 00:00:00
3,2021,December,6,2021-12-06 00:00:00
2,2021,December,13,2021-12-13 00:00:00
1,2021,December,14,2021-12-14 00:00:00
1,2021,December,15,2021-12-15 00:00:00
1,2021,December,16,2021-12-16 00:00:00
1,2021,December,17,2021-12-17 00:00:00
2,2021,December,19,2021-12-19 00:00:00
1,2021,December,21,2021-12-21 00:00:00
1,2021,December,22,2021-12-22 00:00:00
1,2021,December,23,2021-12-23 00:00:00
1,2021,December,28,2021-12-28 00:00:00
2,2021,December,30,2021-12-30 00:00:00
2,2022,January,3,2022-01-03 00:00:00
3,2022,January,4,2022-01-04 00:00:00
1,2022,January,8,2022-01-08 00:00:00
1,2022,January,10,2022-01-10 00:00:00
2,2022,January,12,2022-01-12 00:00:00
2,2022,January,13,2022-01-13 00:00:00
1,2022,January,15,2022-01-15 00:00:00
4,2022,January,17,2022-01-17 00:00:00
6,2022,January,19,2022-01-19 00:00:00
3,2022,January,20,2022-01-20 00:00:00
5,2022,January,21,2022-01-21 00:00:00
2,2022,January,23,2022-01-23 00:00:00
1,2022,January,24,2022-01-24 00:00:00
1,2022,January,25,2022-01-25 00:00:00
5,2022,January,27,2022-01-27 00:00:00
2,2022,January,28,2022-01-28 00:00:00
1,2022,January,30,2022-01-30 00:00:00
2,2022,January,31,2022-01-31 00:00:00
4,2022,February,1,2022-02-01 00:00:00
2,2022,February,2,2022-02-02 00:00:00
2,2022,February,3,2022-02-03 00:00:00
1,2022,February,5,2022-02-05 00:00:00
4,2022,February,7,2022-02-07 00:00:00
2,2022,February,9,2022-02-09 00:00:00
2,2022,February,11,2022-02-11 00:00:00
1,2022,February,13,2022-02-13 00:00:00
2,2022,February,14,2022-02-14 00:00:00
1,2022,February,15,2022-02-15 00:00:00
1,2022,February,16,2022-02-16 00:00:00
3,2022,February,17,2022-02-17 00:00:00
1,2022,February,18,2022-02-18 00:00:00
1,2022,February,20,2022-02-20 00:00:00
3,2022,February,21,2022-02-21 00:00:00
4,2022,February,22,2022-02-22 00:00:00
5,2022,February,23,2022-02-23 00:00:00
1,2022,February,24,2022-02-24 00:00:00
1,2022,February,26,2022-02-26 00:00:00
2,2022,February,28,2022-02-28 00:00:00
1,2022,March,1,2022-03-01 00:00:00
3,2022,March,2,2022-03-02 00:00:00
1,2022,March,3,2022-03-03 00:00:00
1,2022,March,4,2022-03-04 00:00:00
2,2022,March,7,2022-03-07 00:00:00
3,2022,March,8,2022-03-08 00:00:00
3,2022,March,9,2022-03-09 00:00:00
